Price,Bedrooms,Bathrooms,Floors,"Waterfront
0 = no
1 = yes","Condition
1 = worn out
5 = excellent","Grade
1 = poor
13 = excellent",Year Built,"Living Space 
(sq.ft.)","Lot Size 
(sq. ft.)"
221900,3,1,1,0,3,7,1955,1340,5650
538000,3,2.25,2,0,3,7,1951,1690,7639
180000,2,1,1,0,3,6,1933,2720,8062
604000,4,3,1,0,5,7,1965,1360,5000
510000,3,2,1,0,3,8,1987,1800,7503
1.23E+06,4,4.5,1,0,3,11,2001,4760,101930
257500,3,2.25,2,0,3,7,1995,2238,6819
291850,3,1.5,1,0,3,7,1963,1650,9711
229500,3,1,1,0,3,7,1960,1780,8113
323000,3,2.5,2,0,3,7,2003,2390,7570
662500,3,2.5,1,0,3,8,1965,2210,8925
468000,2,1,1,0,4,7,1942,1330,6000
310000,3,1,1.5,0,4,7,1927,1780,12697
400000,3,1.75,1,0,4,7,1977,1370,10208
530000,5,2,1.5,0,3,7,1900,1360,4850
650000,4,3,2,0,3,9,1979,2140,4000
395000,3,2,2,0,3,7,1994,1890,14018
485000,4,1,1.5,0,4,7,1916,1610,4300
189000,2,1,1,0,4,7,1921,1060,5095
230000,3,1,1,0,4,7,1969,1280,8850
385000,4,1.75,1,0,4,7,1947,1400,4980
2.00E+06,3,2.75,1,0,3,9,1968,4110,20336
285000,5,2.5,2,0,3,8,1995,2240,7005
252700,2,1.5,1,0,3,7,1985,1220,8386
329000,3,2.25,2,0,4,8,1985,2200,6865
233000,3,2,1.5,0,5,6,1941,1030,4705
937000,3,1.75,2,0,3,8,1915,1760,3573
667000,3,1,1.5,0,5,8,1909,1860,3861
438000,3,1.75,1,0,3,7,1948,1520,6235
719000,4,2.5,2,0,3,8,2005,2630,6026
580500,3,2.5,2,0,3,8,2003,2580,3980
280000,2,1.5,3,0,3,7,2005,1390,1756
687500,4,1.75,1.5,0,4,7,1929,1460,5000
535000,3,1,1.5,0,4,8,1929,1570,5080
322500,4,2.75,1,0,3,7,1981,2020,8720
696000,3,2.5,1.5,0,3,8,1930,1590,3264
550000,4,1,1,0,1,5,1933,2160,11467
640000,4,2,2,0,4,8,1904,1730,4700
240000,4,1,1,0,2,7,1969,1290,7800
605000,4,2.5,2,0,3,8,1996,2620,11884
625000,4,2.5,2,0,3,9,2000,2470,5669
775000,4,2.25,1,0,3,8,1984,2410,30617
861990,5,2.75,2,0,3,9,2014,3625,5639
685000,3,1,2,0,3,7,1922,1580,2640
309000,3,1,1,0,4,6,1959,1340,8808
488000,3,2.5,2,0,3,8,2003,3050,9232
210490,3,1,1,0,3,6,1966,1228,8840
785000,4,2.5,2,0,4,9,1981,2680,13685
450000,3,1.75,1,0,4,7,1953,970,5100
1.35E+06,3,2.5,1,1,5,9,1953,2680,72513
228000,3,1,1,0,3,7,1955,1190,9364
345000,5,2.5,1,0,4,8,1966,1990,9133
600000,3,1.75,1,0,4,7,1950,1410,4080
585000,2,1.75,1,0,3,7,1981,1480,6738
920000,5,2.25,1.5,0,3,8,1927,2730,6000
885000,4,2.5,2,0,3,9,1995,1950,5000
292500,4,2.5,2,0,3,7,2008,2250,4500
301000,3,2.5,2,0,3,8,2003,2690,4750
951000,5,3.25,2,0,4,8,1968,2960,11044
430000,4,3,2,0,3,8,1991,2270,8542
650000,3,2.25,1,0,4,8,1959,2570,18900
289000,3,1.75,1,0,3,7,1954,1290,8750
505000,3,1.75,2,0,5,8,1973,2500,9500
549000,3,1.75,3,0,3,8,2014,1580,3090
425000,3,2.25,1,0,3,7,1979,1440,4080
317625,3,2.75,1.5,0,5,7,1925,1440,4000
975000,4,2.5,2,0,3,10,1989,2750,11049
287000,4,2.5,2,0,3,7,2005,2221,4557
204000,3,1,1,0,4,7,1968,1010,12635
1.33E+06,5,2.25,1,0,3,8,1965,3390,20158
1.04E+06,5,3.25,1,0,4,11,1973,3530,38917
325000,3,2,1,0,4,7,1972,1640,4745
571000,4,2,1.5,0,5,7,1916,1510,7807
360000,4,2.5,2,0,3,8,2005,2420,5000
349000,3,1.75,1,0,5,7,1965,1940,50529
832500,4,4,2,0,4,10,1986,3240,35020
380000,4,1.75,1,0,3,7,1956,1680,7500
480000,3,1,1,0,3,7,1941,890,5060
410000,3,1,1,0,4,7,1956,1130,5693
720000,4,2.5,2,0,3,10,2002,3350,39750
390000,3,2.5,2,0,3,8,2003,2350,5363
360000,4,2.5,2,0,3,7,1992,1870,6405
355000,2,1,1,0,3,7,1948,1720,6720
356000,3,1.5,1,0,3,8,1964,1850,8797
315000,3,1,1,0,3,6,1952,1570,7203
940000,3,1.5,2,0,3,9,1925,2020,4800
305000,5,2.25,1.5,0,5,7,1961,1590,8165
461000,3,3.25,2,0,3,9,2006,1900,7349
215000,2,2.25,2,0,4,7,1979,1950,2025
335000,2,1.75,2,0,3,7,2006,1030,1106
243500,4,2.5,2,0,3,7,1988,1980,7510
1.10E+06,5,2.75,2,0,4,10,2001,2520,6250
153000,3,1,1,0,3,7,1962,1350,10500
430000,3,1.5,1,0,3,8,1939,1570,4500
700000,3,1.5,1,0,3,8,1939,1570,4500
905000,4,2.5,1,0,3,7,1946,1950,6045
247500,3,1.75,1,0,3,7,1967,1750,15616
199000,4,1.5,1,0,4,7,1975,1160,6400
314000,3,1.75,1,0,5,7,1980,1650,135036
437500,3,2.5,2,0,3,9,1992,2550,35065
850830,3,2.5,1.5,0,5,9,1910,2200,4500
555000,3,2,1.5,0,4,7,1929,1610,3478
699950,3,2.25,2,0,4,8,1983,2570,47777
1.09E+06,3,2.5,2,0,3,8,1950,2370,8113
290000,3,1,1,0,3,7,1954,1640,14910
375000,3,2.5,1,0,4,8,1978,2250,8162
460000,3,1,1.5,0,4,7,1939,1240,4005
188500,2,1.75,1,0,4,8,1985,1270,4966
680000,4,2.5,2,0,4,10,1991,2990,35001
470000,5,1.75,2,0,4,7,1942,2500,9433
597750,4,2.5,2,0,3,8,1984,1940,9636
570000,3,1.75,1,0,5,6,1905,1380,3536
272500,3,1.75,1,0,4,7,1980,1540,11656
329950,3,1.75,1,0,3,7,1971,2090,5500
480000,4,2.5,2,0,3,9,2001,2640,8517
740500,3,3.5,2,0,3,8,1900,1830,6350
518500,3,3.5,3,0,3,8,2010,1620,3166
205425,2,1,1,0,4,6,1945,1190,6780
171800,4,2,1,0,3,6,1950,1880,9000
535000,4,1,1.5,0,4,7,1925,1610,4040
660000,3,2.5,1,0,3,8,1964,2340,10856
391500,3,2,1,0,3,7,1987,1580,9104
395000,2,1,1,0,3,6,1953,1710,6000
445000,4,1.75,1.5,0,5,7,1924,1850,4400
770000,3,2.25,2,0,3,9,1990,2700,13992
1.45E+06,4,2.75,1.5,0,3,8,1914,3060,11275
445000,3,2.25,1,0,3,8,1967,2660,8712
260000,4,2.25,1,0,3,8,1978,2090,8400
822500,5,3.5,2,0,5,7,1926,1700,4960
430000,4,2.5,2,0,3,7,2004,1970,3748
212000,3,1.75,1,0,4,7,1986,1420,7680
660500,4,2.25,1,0,3,8,1986,2060,9793
784000,3,3.5,1.5,0,3,9,1989,2480,88500
453246,3,2.5,2,0,3,8,2014,1690,1662
675000,4,3.5,3,0,3,9,2005,1540,2285
199000,3,1.75,1,0,4,7,1956,1550,19265
220000,4,1.75,1,0,3,7,1968,1750,8140
452000,4,2.25,1,0,4,8,1968,1550,10436
382500,2,1,1,0,3,6,1981,1060,5715
519950,3,2.25,3,0,3,8,2014,1350,1310
665000,2,1,1,0,3,7,1925,1170,3600
527700,5,2.5,1,0,4,8,1968,2820,9375
205000,3,1,1,0,4,7,1962,1610,8579
420000,3,1,1,0,4,7,1923,1560,7940
500000,4,2.25,1,0,4,8,1961,2230,8824
921500,4,2.5,2,0,4,9,1994,2840,87991
890000,4,1,2,0,3,8,1905,2200,4000
430000,2,2.5,2,0,3,7,2007,1940,193842
258000,5,2,1,0,4,8,1960,1360,18000
511000,3,1,1,0,3,7,1947,1450,4599
532170,3,2,2,0,3,8,1990,1500,3090
560000,3,1,1.5,0,3,7,1947,1420,5000
282950,3,1,1,0,4,7,1954,1680,8633
2.25E+06,4,3.25,2,0,3,12,2006,3160,9750
350000,1,1,1,0,3,7,1942,1010,5100
215000,3,1,1,0,4,7,1967,1190,7669
650000,5,3.5,2,0,3,9,1996,2640,13675
320000,4,2.75,1,0,3,8,1967,1980,7875
247000,3,2,1.5,0,3,7,1916,1160,7198
320000,4,1.75,1,0,4,8,1968,1730,11180
255000,5,2.25,1,0,3,7,1962,1010,11680
438000,3,1.75,1,0,3,7,1962,1200,9660
900000,3,2.5,2,0,3,10,2000,3400,12601
441000,3,2.75,1,0,3,7,1979,1710,8152
420000,3,2,1,0,4,7,1975,2110,36590
370000,3,1.75,1,0,3,7,1976,1640,7500
269950,2,1.75,1,0,5,5,1949,1830,9750
807100,4,2.5,2,0,3,9,1999,2920,4500
653000,3,2.5,1,0,4,8,1979,2480,8750
371500,3,2,1,0,5,7,1964,1770,7288
284000,3,1.75,1,0,3,7,1954,1070,7920
272000,3,1.75,1,0,4,7,1978,1930,7350
313000,3,1.5,1.5,0,3,7,1955,1480,7940
917500,4,2.5,2,0,3,10,1984,3740,35230
673000,4,2.25,2,0,4,8,1980,2260,8335
425000,3,2.5,2,0,3,8,2008,1590,1795
399950,5,2.75,1,0,3,7,1986,1280,2150
385000,3,1,1,0,3,6,1901,1200,4800
269950,3,1.5,1,0,4,7,1975,1950,8941
330000,2,1,1,0,3,7,1949,1540,8280
260000,3,2.5,2,0,3,7,1988,1670,6183
470000,4,3,1.5,0,4,7,1925,1410,5375
589000,4,3,2,0,5,7,1961,2290,9600
163500,2,1.5,2,0,3,7,1996,1050,3417
835000,4,2.75,2,0,3,9,1993,2260,9984
1.10E+06,5,3,1,0,4,10,1986,2540,10270
269000,4,1.75,1,0,4,8,1969,2190,8910
560000,3,2.5,2,0,3,8,1987,2030,8744
615000,4,1,1.5,0,4,6,1901,1330,4400
585188,3,2.25,1,0,3,8,1975,2230,9340
305000,3,1.75,1,0,3,7,1977,1540,8400
166950,3,1,1,0,3,6,1959,1230,7980
799000,3,2.5,1,0,4,8,1959,2680,10083
400000,3,2.5,1,0,4,7,1962,1900,7818
230000,3,1,1,0,3,7,1948,1570,10228
256883,3,2.5,2,0,3,8,2003,2550,5001
423000,4,2,1.5,0,5,7,1920,1500,6480
465000,3,2.5,2,0,3,8,2007,1750,2385
440000,3,2.5,2,0,3,7,1997,2330,67268
385000,3,1.75,1,0,4,7,1969,1560,50965
210000,3,1,1,0,4,6,1943,1300,9514
297000,3,2.5,2,0,3,8,1994,2030,10450
470000,3,1,1,0,3,7,1952,1680,5000
226500,3,1.5,1,0,4,7,1976,1430,7500
274250,3,1,1,0,4,6,1962,1400,8040
840000,4,1.75,1,0,4,9,1966,2770,10744
677900,3,2.5,2,0,3,8,2010,2750,4587
425000,3,1,1,0,3,7,1915,1290,5000
180250,2,0.75,1,0,3,6,1941,1250,14280
464000,6,3,2,0,3,7,1920,1560,1312
320000,4,2.25,2,0,3,8,1993,1630,6397
625504,3,2.25,2,0,3,8,2014,1160,1327
